business_id,phone_number,name,full_address,latitude,longitude,review_count,rating,timezone,website,place_id,place_link,types,price_level,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,city,verified,state
"0x88005a5e36826031:0x135a577463976736","+17154519500","Lakeland Real Estate LLC","Lakeland Real Estate LLC, 3233B Business Park Dr Suite 102, Stevens Point, WI 54482","44.502310099999995","-89.51248799999999","7","4.4","America/Chicago","http://www.lakelandre.com/","ChIJMWCCNl5aAIgRNmeXY3RXWhM","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x88005a5e36826031:0x135a577463976736","Real estate agency","","","","","","","","","Stevens Point, WI","true",""
"0x8800574492f20261:0xecfae5c6e1c13952","+17153408204","Stevens Point Realty, Inc.","Stevens Point Realty, Inc., 2917 Post Rd, Stevens Point, WI 54481","44.4856409","-89.55091759999999","8","5","America/Chicago","http://www.stevenspointre.com/","ChIJYQLykkRXAIgRUjnB4cbl-uw","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8800574492f20261:0xecfae5c6e1c13952","Real estate agency","","9 AM–7 PM","9 AM–7 PM","9 AM–7 PM","9 AM–7 PM","9 AM–7 PM","9 AM–7 PM","9 AM–7 PM","Stevens Point, WI","true","Open ⋅ Closes 7 PM"
"0x88005a0a322f5bad:0x7803ebf02775c52b","+19209039031","Keller Williams Stevens Point","Keller Williams Stevens Point, 5733 Windy Dr Suite F, Stevens Point, WI 54482","44.5241676","-89.5023428","7","5","America/Chicago","http://kwstevenspoint.com/","ChIJrVsvMgpaAIgRK8V1J_DrA3g","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x88005a0a322f5bad:0x7803ebf02775c52b","Real estate agency","","8 AM–5 PM","Closed","Closed","8 AM–5 PM","8 AM–5 PM","8 AM–5 PM","8 AM–5 PM","Stevens Point, WI","true","Open ⋅ Closes 5 PM"

