"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Wednesday","Thursday","Friday","Saturday","Sunday","Monday","Tuesday","city","verified","photos","state","description"
"0x88f6b80d4b9129a5:0x17700c81c0665e87","+14784141990","Price Douglas Lee","Price Douglas Lee, 187 Roberson Mill Rd STE 101, Milledgeville, GA 31061, United States","33.0990403","-83.2602639","1","5","America/New_York","http://browneandpricepa.com/","ChIJpSmRSw249ogRh15mwIEMcBc","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x88f6b80d4b9129a5:0x17700c81c0665e87","Attorney","","","","","","","","","Milledgeville, GA, United States","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jcSwneoGp4IlBdwG6yzYag&cb_client=search.gws-prod.gps&w=203&h=100&yaw=252.79019&pitch=0&thumbfov=100","",""
"0x88f6a96c8c9d4b5f:0x5156bcbe0fc2d1d1","+14789863166","District Attorney Office","District Attorney Office, 166 Industrial Blvd, Gray, GA 31032, United States","33.0213405","-83.5347772","4","3","America/New_York","","ChIJX0udjGyp9ogR0dHCD768VlE","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x88f6a96c8c9d4b5f:0x5156bcbe0fc2d1d1","Law firm","","","","","","","","","Gray, GA, United States","false","","",""
"0x88f6932c5d707311:0x1db57672d8dc88f5","+14042601901","Thomas Walters Estate Planning Attorneys","Thomas Walters Estate Planning Attorneys, 952 B Greensboro Rd, Eatonton, GA 31024, United States","33.4173221","-83.2722163","1","5","America/New_York","http://georgiaestateplanning.info/","ChIJEXNwXSyT9ogR9Yjc2HJ2tR0","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x88f6932c5d707311:0x1db57672d8dc88f5","Estate planning attorney","","8:30AM5PM","8:30AM5PM","8:30AM5PM","Closed","Closed","8:30AM5PM","8:30AM5PM","Eatonton, GA, United States","true","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=w8wkdVxcDhYsmCwKAezqUA&cb_client=search.gws-prod.gps&w=203&h=100&yaw=41.991608&pitch=0&thumbfov=100","Closed  Opens 8:30AM",""
"0x88f69719c2f168af:0x44f44f4e5dc1bd69","+17064842987","Putnam County District Attorney","Putnam County District Attorney, 100 S Jefferson Ave # 122, Eatonton, GA 31024, United States","33.325797","-83.3888149","","","America/New_York","https://www.ocmulgeeda.org/putnam-county-office","ChIJr2jxwhmX9ogRab3BXU5P9EQ","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x88f69719c2f168af:0x44f44f4e5dc1bd69","District attorney","","9AM5PM","9AM5PM","9AM5PM","Closed","Closed","9AM5PM","9AM5PM","Eatonton, GA, United States","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QGpwqjWy9RMIfoS-8OFlZw&cb_client=search.gws-prod.gps&w=203&h=100&yaw=148.95436&pitch=0&thumbfov=100","Closed  Opens 9AM",""
"0x88f6c7c1e9c1547b:0x5a7c5647666002ed","+14784523120","The Ford Firm PC","The Ford Firm PC, 187 Roberson Mill Rd NE, Ste 206, Milledgeville, GA 31061, United States","33.094874","-83.25139999999999","1","4","America/New_York","","ChIJe1TB6cHH9ogR7QJgZkdWfFo","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x88f6c7c1e9c1547b:0x5a7c5647666002ed","Bankruptcy attorney","","","","","","","","","Milledgeville, GA, United States","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q6Q9f9ghAeRzSXS_w7z0NQ&cb_client=search.gws-prod.gps&w=203&h=100&yaw=159.07022&pitch=0&thumbfov=100","",""
"0x88f692bd30fad7c7:0x96d450b5a9e77b89","+17064854001","Gailey Law Firm: Gailey Jr R Michael","Gailey Law Firm: Gailey Jr R Michael, 953 Harmony Rd # 101, Eatonton, GA 31024, United States","33.423456099999996","-83.27022079999999","","","America/New_York","http://www.gaileylawfirm.com/","ChIJx9f6ML2S9ogRiXvnqbVQ1JY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x88f692bd30fad7c7:0x96d450b5a9e77b89","Trial attorney, Civil law attorney, Criminal justice attorney, Divorce lawyer, Family law attorney","","8AM5PM","8AM5PM","8AM5PM","Closed","Closed","8AM5PM","8AM5PM","Eatonton, GA, United States","true","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KhP_jMTLVvXUjOakcdL4nQ&cb_client=search.gws-prod.gps&w=203&h=100&yaw=133.89705&pitch=0&thumbfov=100","Closed  Opens 8AM",""
"0x79540f4873c3d295:0x49e6ce324521edee","+18083262220","Law Office of Lee Mattingly","Law Office of Lee Mattingly, 75-5909 Walua Road Second Floor Kona Town Market Building, Kailua-Kona, HI 96740, United States","19.6288262","-155.9854163","30","4.2","Pacific/Honolulu","http://www.leemattinglylaw.com/","ChIJldLDc0gPVHkR7u0hRTLO5kk","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x79540f4873c3d295:0x49e6ce324521edee","Divorce lawyer, Family law attorney, Attorney, Mediation service, Personal injury attorney","","9AM5PM","9AM5PM","9AM5PM","Closed","Closed","8AM5PM","9AM5PM","Kailua-Kona, HI, United States","true","https://lh5.googleusercontent.com/p/AF1QipOTLlhVB6L9q_zWjoFrQhhyB0LevOmHnBRUZfZd=w203-h270-k-no","Closed  Opens 9AM",""
"0x79540f1c0a833a93:0x5b90ad62a53cb8c2","+18083296600","Gleed, Darl C. Attorney At Law","Gleed, Darl C. Attorney At Law, 75-5905 Walua Rd, Kailua-Kona, HI 96740, United States","19.6293942","-155.98594549999999","17","4.9","Pacific/Honolulu","http://www.gleedlaw.com/","ChIJkzqDChwPVHkRwrg8pWKtkFs","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x79540f1c0a833a93:0x5b90ad62a53cb8c2","Estate planning attorney, Attorney","","8AM5PM","8AM5PM","8AM5PM","Closed","Closed","8AM5PM","8AM5PM","Kailua-Kona, HI, United States","true","https://lh5.googleusercontent.com/p/AF1QipMds7B8YwIle44CpH2ESFxT8OrayZaL5CtocIp_=w203-h135-k-no","Closed  Opens 8AM",""
"0x795406ee8a503ffd:0xb817a7a2d83752c3","+18083487800","Foster Law Offices LLC","Foster Law Offices LLC, 74-5617 Pawai Pl #206, Kailua-Kona, HI 96740, United States","19.6437045","-155.99761239999998","10","5","Pacific/Honolulu","http://www.fosterlawoffices.com/","ChIJ_T9Qiu4GVHkRw1I32KKnF7g","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x795406ee8a503ffd:0xb817a7a2d83752c3","Attorney, Law firm, Personal injury attorney","","9AM5PM","9AM5PM","9AM5PM","Closed","Closed","9AM5PM","9AM5PM","Kailua-Kona, HI, United States","true","https://lh5.googleusercontent.com/p/AF1QipOFxRFLvugtYuCpOvJg-Zf8ml3_tBTUe9n0sB69=w203-h152-k-no","Closed  Opens 9AM",""
"0x79540efdb0310f5d:0x528a1035f37d7ed8","+18083294421","Law Offices Of Kimberly A. Jackson, LLLC","Law Offices Of Kimberly A. Jackson, LLLC, 75-5782 Kuakini Hwy Suite C-2, Kailua-Kona, HI 96740, United States","19.6355763","-155.9904329","5","5","Pacific/Honolulu","https://kimjacksonlaw.com/","ChIJXQ8xsP0OVHkR2H598zUQilI","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x79540efdb0310f5d:0x528a1035f37d7ed8","Estate planning attorney, Law firm, Attorney","","9AM4:30PM","9AM4:30PM","9AM4:30PM","Closed","Closed","9AM4:30PM","9AM4:30PM","Kailua-Kona, HI, United States","true","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X98UZCNvMi73LFPN7V__TA&cb_client=search.gws-prod.gps&w=203&h=100&yaw=46.79446&pitch=0&thumbfov=100","Closed  Opens 9AM",""
